theta,conf,method,image
81.86506569472273,0.8814094503549698,A+B,bothFireAndSmoke_CV000000
80.60890200127892,0.7787520514127579,A+B,bothFireAndSmoke_CV000001
78.72716856813783,0.7949961535903647,A+B,bothFireAndSmoke_CV000002
76.61023650527751,0.7979097993626274,A+B,bothFireAndSmoke_CV000006
74.78032785699388,0.7202211784638559,A+B,bothFireAndSmoke_CV000007
74.32123973006405,0.6607104164772074,A+B,bothFireAndSmoke_CV000009
74.59544013110718,0.6646763274776553,A+B,bothFireAndSmoke_CV000010
80.19307788351287,0.6465745827728131,A+B,bothFireAndSmoke_CV000013
80.16458901917426,0.6871703002904731,A+B,bothFireAndSmoke_CV000015
79.17008175547453,0.7472113820125508,A+B,bothFireAndSmoke_CV000018
79.03167714591757,0.6522325484364025,A+B,bothFireAndSmoke_CV000019
77.46769129136838,0.5429213671064259,A+B,bothFireAndSmoke_CV000020
81.25398659220855,0.6554167771628243,A+B,bothFireAndSmoke_CV000021
89.14210489579023,0.5868794834158342,A+B,bothFireAndSmoke_CV000025
91.46442931935728,0.5316737504535353,A+B,bothFireAndSmoke_CV000026
84.68702211201129,0.7084752344023153,A+B,bothFireAndSmoke_CV000027
89.69476046403379,0.6638097354449606,A+B,bothFireAndSmoke_CV000028
90.84380847257054,0.5888063431147694,A+B,bothFireAndSmoke_CV000029
92.84365341684314,0.627273438888897,A+B,bothFireAndSmoke_CV000030
91.44980868774367,0.6172103838199119,A+B,bothFireAndSmoke_CV000031
88.96476432344184,0.6558314690299617,A+B,bothFireAndSmoke_CV000033
89.0023622057672,0.6933212601748514,A+B,bothFireAndSmoke_CV000034
88.77488369330909,0.6238327897645047,A+B,bothFireAndSmoke_CV000035
90.18440875747943,0.3194218830371809,B,bothFireAndSmoke_CV000038
90.11150946561895,0.1792487356217177,B,bothFireAndSmoke_CV000039
89.70954513553443,0.6534247947867864,A+B,bothFireAndSmoke_CV000040
93.55507876078039,0.6050599481319325,A+B,bothFireAndSmoke_CV000044
92.00642568893865,0.7326307702358403,A+B,bothFireAndSmoke_CV000048
